Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-04-29,108.6612,109.1163,107.1762,107.5431,858145.63994173
2020-04-30,104.8098,107.0967,104.3847,105.7014,719989.60106053
2020-05-01,103.1175,103.6221,101.9982,102.7506,758270.82295023
2020-05-04,101.9784,102.7605,100.5831,102.2856,749952.55121393
2020-05-05,103.6221,105.5133,102.1077,104.8896,1002888.6187128
2020-05-06,105.7899,105.7899,101.7705,101.8005,736942.3095669
2020-05-07,102.87,105.2562,102.6024,103.4145,657523.26925193
2020-05-08,105.2463,105.3246,103.1967,103.6719,928832.2626295
2020-05-11,102.1374,105.9588,102.0183,105.2751,709002.6136075
2020-05-12,106.0086,106.4637,104.2653,104.5623,1110779.6839738
2020-05-13,104.5824,106.3047,103.5327,104.949,962710.4066202
2020-05-14,103.4343,105.7014,103.3449,105.5133,823077.58409857
2020-05-15,105.81,108.1758,104.7312,108.0081,2156836.4460894
2020-05-18,110.7399,111.7002,109.7304,110.76,898057.18248507
2020-05-19,110.0475,111.7698,108.3441,108.5427,660455.62418217
2020-05-20,108.879,111.4032,108.879,110.5524,551681.7210951
2020-05-21,109.7304,110.5425,108.9084,109.8486,749258.6043186
2020-05-22,109.938,111.582,109.701,111.1455,457278.6804236
2020-05-26,114.1164,114.9276,111.8196,112.0572,634965.44965087
2020-05-27,113.5218,113.7,110.0676,110.9979,877787.26640347
2020-05-28,112.107,113.3931,111.3735,112.1355,741176.69877377
2020-05-29,112.0968,114.5022,111.5025,114.1554,863008.31876853
2020-06-01,114.9573,115.5219,112.9971,114.5517,964617.49794237
2020-06-02,114.9084,115.4523,113.9871,114.8988,538751.27829047
2020-06-03,115.6113,116.3439,114.0468,114.9969,729239.19599547
2020-06-04,114.7695,115.0269,112.2054,113.6412,623816.8442892
2020-06-05,115.1946,115.8885,111.1359,115.5513,1116609.0399167
2020-06-08,115.0269,117.1953,114.9276,116.8881,995343.08260227
2020-06-09,115.9968,116.7591,114.819,115.7298,857017.34491693
2020-06-10,115.2246,116.4621,115.0365,115.6506,532383.53268933
2020-06-11,114.651,115.017,109.0677,109.5816,895314.7285975
2020-06-12,111.7203,112.1355,109.4631,111.423,729058.38596013
2020-06-15,108.8985,114.5223,108.6015,113.5818,807289.53464647
2020-06-16,114.8487,116.1159,112.3344,114.69,781167.03004753
2020-06-17,115.2147,115.7991,114.0966,114.2943,613012.68709533
2020-06-18,113.9274,115.5318,112.9377,115.4325,794018.68412173
2020-06-19,116.3931,118.1955,114.5715,114.9771,1016727.1521417
2020-06-22,115.2645,116.5515,114.2943,115.8387,523370.30394577
2020-06-23,116.3337,116.967,114.4521,114.7593,729662.43289377
2020-06-24,114.3939,114.4821,111.3447,111.5424,647793.87115067
2020-06-25,111.2751,115.1364,110.9478,114.8487,573483.9769732
2020-06-26,114.2844,114.5022,111.6702,112.0668,1088968.3370883
2020-06-29,113.6112,113.8692,112.4229,113.7396,774178.06560997
2020-06-30,113.0568,116.0964,112.6803,115.6014,650309.04985417
2020-07-01,115.7298,117.6804,114.9873,116.8485,623144.1097444
2020-07-02,118.6203,119.1354,116.1159,116.1756,781898.35108423
2020-07-06,117.5613,118.5411,116.6409,117.1656,494805.34870227
2020-07-07,116.3736,117.8583,115.8885,116.571,479346.59573907
2020-07-08,117.0363,118.3233,116.5617,117.7689,705890.4587539
2020-07-09,118.3134,118.5411,115.3539,116.8881,582790.13817613
2020-07-10,117.3735,119.0163,116.2842,118.8978,484516.34859227
2020-07-13,120.006,122.1249,118.9575,119.0163,640561.4697382
